id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"5316-League-Rd,-Unit-A,-El-Paso,-TX-79938","5316 League Rd, Unit A, El Paso, TX 79938",5316 League Rd,Unit A,El Paso,TX,48,79938,El Paso,141,31.858904,-106.138115,Townhouse,2,1,748,,2022,,,,,,
"5316-League-Rd,-Unit-B,-El-Paso,-TX-79938","5316 League Rd, Unit B, El Paso, TX 79938",5316 League Rd,Unit B,El Paso,TX,48,79938,El Paso,141,31.858904,-106.138115,Townhouse,1,1,2515,,2022,,,,,,
"201-Desert-Pass-St,-Unit-3,-El-Paso,-TX-79912","201 Desert Pass St, Unit 3, El Paso, TX 79912",201 Desert Pass St,Unit 3,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,3.5,1936,1307,2024,220,,,,,
"201-Desert-Pass-St,-Unit-1,-El-Paso,-TX-79912","201 Desert Pass St, Unit 1, El Paso, TX 79912",201 Desert Pass St,Unit 1,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,3.5,1964,1307,2024,220,,,,,
"201-Desert-Pass-St,-Unit-8,-El-Paso,-TX-79912","201 Desert Pass St, Unit 8, El Paso, TX 79912",201 Desert Pass St,Unit 8,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1791,1742,2024,220,,,,,
"201-Desert-Pass-St,-Unit-28,-El-Paso,-TX-79912","201 Desert Pass St, Unit 28, El Paso, TX 79912",201 Desert Pass St,Unit 28,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1787,1742,2025,220,,,,,
"1074-Hoppas-Ct,-Unit-B,-El-Paso,-TX-79932","1074 Hoppas Ct, Unit B, El Paso, TX 79932",1074 Hoppas Ct,Unit B,El Paso,TX,48,79932,El Paso,141,31.88769,-106.628777,Townhouse,3,2.5,1375,,2022,,,,,,
"8902-Herbert-St,-Apt-A,-El-Paso,-TX-79904","8902 Herbert St, Apt A, El Paso, TX 79904",8902 Herbert St,Apt A,El Paso,TX,48,79904,El Paso,141,31.865025,-106.433197,Townhouse,2,2,1000,,2023,,,,,,
"8945-Robert-Dr,-Unit-B,-El-Paso,-TX-79904","8945 Robert Dr, Unit B, El Paso, TX 79904",8945 Robert Dr,Unit B,El Paso,TX,48,79904,El Paso,141,31.866405,-106.434729,Townhouse,2,2,1300,,2023,,,,,,
"201-Desert-Pass-St,-Unit-6,-El-Paso,-TX-79912","201 Desert Pass St, Unit 6, El Paso, TX 79912",201 Desert Pass St,Unit 6,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,3.5,1964,1224,2024,85,,,,,
"201-Desert-Pass-St,-Unit-7,-El-Paso,-TX-79912","201 Desert Pass St, Unit 7, El Paso, TX 79912",201 Desert Pass St,Unit 7,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1791,1742,2024,220,,,,,
"201-Desert-Pass-St,-Unit-9,-El-Paso,-TX-79912","201 Desert Pass St, Unit 9, El Paso, TX 79912",201 Desert Pass St,Unit 9,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1791,1742,2024,220,,,,,
"201-Desert-Pass-St,-Unit-5,-El-Paso,-TX-79912","201 Desert Pass St, Unit 5, El Paso, TX 79912",201 Desert Pass St,Unit 5,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,3.5,1936,1307,2024,220,,,,,
"201-Desert-Pass-St,-Unit-4,-El-Paso,-TX-79912","201 Desert Pass St, Unit 4, El Paso, TX 79912",201 Desert Pass St,Unit 4,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,3.5,1936,1307,2024,220,,,,,
"201-Desert-Pass-St,-Unit-10,-El-Paso,-TX-79912","201 Desert Pass St, Unit 10, El Paso, TX 79912",201 Desert Pass St,Unit 10,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1791,1677,2024,85,,,,,
"201-Desert-Pass-St,-Unit-30,-El-Paso,-TX-79912","201 Desert Pass St, Unit 30, El Paso, TX 79912",201 Desert Pass St,Unit 30,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1787,1742,2025,220,,,,,
