id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"3664-Bob-Snead-Dr,-El-Paso,-TX-79938","3664 Bob Snead Dr, El Paso, TX 79938",3664 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.801313,-106.190335,Single Family,3,2,1691,5439,2025,
"3640-Bob-Snead-Dr,-El-Paso,-TX-79938","3640 Bob Snead Dr, El Paso, TX 79938",3640 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800443,-106.190303,Single Family,3,2,1784,5439,2025,
"3648-Bob-Snead-Dr,-El-Paso,-TX-79938","3648 Bob Snead Dr, El Paso, TX 79938",3648 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.801276,-106.190378,Single Family,4,2,1785,5439,2025,
"3668-Bob-Snead-Dr,-El-Paso,-TX-79938","3668 Bob Snead Dr, El Paso, TX 79938",3668 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800877,-106.190338,Single Family,3,2,1605,5439,2025,
"3652-Bob-Snead-Dr,-El-Paso,-TX-79938","3652 Bob Snead Dr, El Paso, TX 79938",3652 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800931,-106.190311,Single Family,3,2,1784,5439,2025,
"3644-Bob-Snead-Dr,-El-Paso,-TX-79938","3644 Bob Snead Dr, El Paso, TX 79938",3644 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.8006,-106.190574,Single Family,3,2,1605,4792,2025,
"3764-Course-St,-El-Paso,-TX-79938","3764 Course St, El Paso, TX 79938",3764 Course St,,El Paso,TX,48,79938,El Paso,141,31.80522,-106.195295,Single Family,4,3,2173,6534,2025,
"3760-Course-St,-El-Paso,-TX-79938","3760 Course St, El Paso, TX 79938",3760 Course St,,El Paso,TX,48,79938,El Paso,141,31.805519,-106.195202,Single Family,4,2.5,2000,6970,2025,
"15228-Hunch-Ct,-El-Paso,-TX-79938","15228 Hunch Ct, El Paso, TX 79938",15228 Hunch Ct,,El Paso,TX,48,79938,El Paso,141,31.800057,-106.191596,Single Family,3,1,1486,5439,2025,
"15232-Hunch-Ct,-El-Paso,-TX-79938","15232 Hunch Ct, El Paso, TX 79938",15232 Hunch Ct,,El Paso,TX,48,79938,El Paso,141,31.8002261,-106.1911452,Single Family,3,2,1321,5439,2025,
"15225-Ambition-Ave,-El-Paso,-TX-79938","15225 Ambition Ave, El Paso, TX 79938",15225 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804057,-106.191681,Single Family,4,2.5,1788,5247,2025,
"15221-Ambition-Ave,-El-Paso,-TX-79938","15221 Ambition Ave, El Paso, TX 79938",15221 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804075,-106.192079,Single Family,4,2.5,2142,5247,2025,
"15217-Ambition-Ave,-El-Paso,-TX-79938","15217 Ambition Ave, El Paso, TX 79938",15217 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.80192,-106.230639,Single Family,3,2,1593,5247,2025,
"15213-Ambition-Ave,-El-Paso,-TX-79938","15213 Ambition Ave, El Paso, TX 79938",15213 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804067,-106.192259,Single Family,4,2,1635,5247,2025,
"15281-Composition-Ave,-El-Paso,-TX-79938","15281 Composition Ave, El Paso, TX 79938",15281 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804818,-106.190171,Single Family,4,2,1635,5335,2025,
"15248-Concentrate-Ave,-El-Paso,-TX-79938","15248 Concentrate Ave, El Paso, TX 79938",15248 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805593,-106.190667,Single Family,4,2.5,1788,5335,2025,
"3749-Surmise-St,-El-Paso,-TX-79938","3749 Surmise St, El Paso, TX 79938",3749 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804107,-106.199147,Single Family,3,2,1593,5927,2025,
"3753-Surmise-St,-El-Paso,-TX-79938","3753 Surmise St, El Paso, TX 79938",3753 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804143,-106.199158,Single Family,4,2,1635,5227,2025,
